"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"APILKD_14215",132.018763557082,-0.491803774242847,0.444552076834201,-1.10629057847427,0.268600768391834,0.542991431510016
"APILKD_14220",84.1080589341412,0.188599979422017,0.549248425252301,0.343378279756347,0.731313897554464,0.889186534967171
"APILKD_14225",56.9275943417778,-0.451750354354337,0.566367904565136,-0.797627038384522,0.425086955561091,0.684007880003934
"APILKD_14230",345.650097014699,-0.554319744218901,0.274538926369836,-2.01909343621519,0.04347750895719,0.17179498179684
"APILKD_14235",206.941450467641,-0.298023454378924,0.331025361939502,-0.900303990705674,0.367958497938348,0.637095747844322
"APILKD_14240",133.748645473808,-0.0811789338598666,0.445219415370454,-0.182334667036747,0.855320094300467,0.941768985914297
"APILKD_14245",186.214302055991,0.421651954865926,0.350725440659605,1.20222802792102,0.229275192975677,0.498534870210217
"APILKD_14250",108.407020250989,-0.0166054496747541,0.496038745632964,-0.0334761141562943,0.973294913295696,0.989501069700139
"APILKD_14255",45.0604224298397,-1.44215817381729,0.693220870736618,-2.08037327595871,0.0374913084841107,NA
"APILKD_14260",357.803860913599,-0.460758117819271,0.253405618518723,-1.81826322759781,0.0690239102840209,0.234980225262337
"APILKD_14265",214.882365490425,0.0747074438517909,0.327725044074005,0.227957689540873,0.819679133387645,0.928759413035635
"APILKD_14270",209.848359237253,0.110345446054648,0.330878946845243,0.333491892145855,0.73876300865366,0.89172457172129
"APILKD_14275",46.5075175411396,0.642618130924477,0.691725134686588,0.929007923379333,0.352884980113781,NA
"APILKD_14280",37.468057927229,0.0903925778853255,0.980067240224529,0.0922309961759532,0.926514511606791,NA
"APILKD_14285",25.4119119301029,-0.469570839407202,1.23510100489547,-0.380188209341587,0.703805710893828,NA
"APILKD_14290",45.8895332582537,-0.268714514327321,0.789619046937621,-0.340309058361088,0.733623796243318,NA
"APILKD_14295",104.398628958572,-0.0136559236511792,0.490757409252125,-0.0278262200299527,0.97780075349685,0.992237897670832
"APILKD_14300",161.444017342164,0.0026916997136345,0.391401031467078,0.00687708896306501,0.994512920144452,0.99832263840644
"APILKD_14305",222.203259812021,0.135966758939342,0.366171416634276,0.371319968634095,0.710399226618873,0.877876743470631
"APILKD_14310",105.747531428641,1.33846758851362,0.479758274157157,2.78987911332024,0.00527277247674558,0.0351572495590115
"APILKD_14315",247.479682070548,-0.0348651410170565,0.3376624146673,-0.103254432541476,0.917761039809767,0.971349638307
"APILKD_14320",289.453812571965,-0.25845173928579,0.321741750669362,-0.803289404462114,0.421807480638354,0.681178847372686
"APILKD_14325",300.148162604718,-0.0435737276376688,0.329806189033141,-0.132119193291701,0.894890014937723,0.960721924812934
"APILKD_14330",101.005827604137,0.141595976859553,0.453082237039501,0.312517166386304,0.754647519023564,0.896633075608898
"APILKD_14335",64.4460589204594,-0.108047741608857,0.722779844967936,-0.149489145776679,0.881167673549003,0.954395516869294
"APILKD_14340",389.516085413968,0.67624526086541,0.245882738261684,2.7502754591325,0.00595451855751434,0.0382267772072994
"APILKD_14345",210.099927974991,0.286989690712053,0.302096158759317,0.949994504699082,0.342115044886185,0.619768445908671
"APILKD_14350",260.856966503673,0.541373438871337,0.297254653079769,1.82124462396912,0.0685696799654743,0.233841580530479
